"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 20:14:03 CST 2022","Sat Jun 25 20:15:50 CST 2022","107237","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 23:45:16 CST 2022","Sat Jun 25 23:47:02 CST 2022","106425","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 02:48:59 CST 2022","Sun Jun 26 02:50:46 CST 2022","107050","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 07:02:37 CST 2022","Sun Jun 26 07:04:28 CST 2022","110959","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 06:00:20 CST 2022","Sun Jun 26 06:02:08 CST 2022","107903","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 02:43:07 CST 2022","Sun Jun 26 02:44:56 CST 2022","109437","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 19:15:34 CST 2022","Sat Jun 25 19:17:25 CST 2022","110333","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 22:16:56 CST 2022","Sat Jun 25 22:18:43 CST 2022","107387","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 09:09:19 CST 2022","Sun Jun 26 09:11:18 CST 2022","118444","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 02:47:01 CST 2022","Sun Jun 26 02:48:55 CST 2022","113641","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 20:06:32 CST 2022","Sat Jun 25 20:08:21 CST 2022","109011","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 22:11:18 CST 2022","Sat Jun 25 22:13:07 CST 2022","108304","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 23:41:31 CST 2022","Sat Jun 25 23:43:19 CST 2022","107681","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 02:45:01 CST 2022","Sun Jun 26 02:46:56 CST 2022","115388","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 01:21:42 CST 2022","Sun Jun 26 01:23:30 CST 2022","107748","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 03:55:17 CST 2022","Sun Jun 26 03:57:07 CST 2022","110206","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 00:22:44 CST 2022","Sun Jun 26 00:24:32 CST 2022","107909","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 23:52:45 CST 2022","Sat Jun 25 23:54:32 CST 2022","106634","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"broken","Sun Jun 26 00:32:13 CST 2022","Sun Jun 26 00:38:56 CST 2022","402661","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 04:37:13 CST 2022","Sun Jun 26 04:39:01 CST 2022","107838","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sat Jun 25 23:39:38 CST 2022","Sat Jun 25 23:41:26 CST 2022","107882","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
"passed","Sun Jun 26 02:50:51 CST 2022","Sun Jun 26 02:52:39 CST 2022","108227","","test_gzAndroidAuto","TestAddDevices","","","C6SP基站绑定解绑",""
